Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2021 BMW 530i 2.0 M Sport Sedan - SHAWDOW EDITION LIMITED 36 UNITS FULL SERVICE RECORD UNDER WARRANTY TILL 2026 M PERFORMANCE FULL KIT,"RM 2,149 / month","RM 165,800",BMW 530i,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2015/2020 Mercedes-Benz C180 1.6 AMG Sports Package Sedan - Reg 2020 MERCEDES BENZ JAPAN SPEC GENUINE LOW MIL 80K KM BLIND SPOT ASSIST LANE KEEPING ASSIST ACTIVE PARK ASSIST Buy Drive,RM 797 / month,"RM 61,500",Mercedes-Benz C180,80 - 85K KM,Automatic,"Selangor, Kajang"
2021 Mercedes-Benz Vito 2.0 Tourer Select Van,"RM 2,707 / month","RM 208,800",Mercedes-Benz Vito,60 - 65K KM,Automatic,"Selangor, Kajang"
2015 Mercedes-Benz E300 2.1 BlueTEC Sedan - Mercedes Benz W212 HYBRID CKD DIESEL,RM 451 / month,"RM 34,800",Mercedes-Benz E300,85 - 90K KM,Automatic,"Selangor, Kajang"
2018 Toyota Innova 2.0 X MPV - FACELIFT (A) 7 SEATER SUV,RM 840 / month,"RM 64,800",Toyota Innova,75 - 80K KM,Automatic,"Selangor, Kajang"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS (Metallic) SUV - GLS FACELIFT (A) POWER BOOT,RM 866 / month,"RM 66,800",Mazda CX-5,80 - 85K KM,Automatic,"Selangor, Kajang"
2018 Toyota Innova 2.0 X MPV - FACELIFT (A) 7 SEAT,RM 840 / month,"RM 64,800",Toyota Innova,70 - 75K KM,Automatic,"Selangor, Kajang"
2010 Honda Civic 2.0 Type R Sedan - (M) CARBON FIBER BONET,"RM 1,359 / month","RM 104,800",Honda Civic,85 - 90K KM,Manual,"Selangor, Kajang"
2016 Perodua Myvi 1.3 G (Metallic) Hatchback - G FACELIFT (A) SE,RM 309 / month,"RM 23,800",Perodua Myvi,85 - 90K KM,Automatic,"Selangor, Kajang"
2020 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - J IMPUL (A) FULL SERVICE RECORD,"RM 1,125 / month","RM 86,800",Nissan Serena,70 - 75K KM,Automatic,"Selangor, Kajang"
2015 Honda CR-V 2.4 SUV - 4WD FACELIFT (A) CRV AWD,RM 529 / month,"RM 40,800",Honda CR-V,80 - 85K KM,Automatic,"Selangor, Kajang"
2016 BMW 320d 2.0 GT Luxury Line Hatchback - GT (A) B47 ENGINE NEW FACELIFT - FULL SERVICE RECORDS,RM 814 / month,"RM 62,800",BMW 320d,175 - 180K KM,Automatic,"Selangor, Petaling Jaya"
2018 Honda Civic 1.5 TC Sedan - P - PREMIUM FULL SERVICE RECORD,RM 918 / month,"RM 70,800",Honda Civic,90 - 95K KM,Automatic,"Selangor, Kajang"
2020 Proton X70 1.8 Premium SUV - (A) - P BOOT - FULL SERVICE RECORDS,RM 620 / month,"RM 47,800",Proton X70,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2017 Honda Accord 2.0 VTi-L Sedan - FACELIFT (A) 3YEARS WARRANTY,RM 788 / month,"RM 60,800",Honda Accord,75 - 80K KM,Automatic,"Selangor, Kajang"
2016 Nissan X-Trail 2.5 4X4 SUV - (A) AWD - 7 SEATERS - ONE OWNER SINCE NEW,RM 451 / month,"RM 34,800",Nissan X-Trail,135 - 140K KM,Automatic,"Selangor, Petaling Jaya"
2015 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - S-HYBRID HWS PREMIUM,RM 490 / month,"RM 37,800",Nissan Serena,80 - 85K KM,Automatic,"Selangor, Kajang"
2015 BMW 528i 2.0 M Sport Sedan - (A) - 1 Owner since new - Loan up to 6 yrs,RM 775 / month,"RM 59,800",BMW 528i,165 - 170K KM,Automatic,"Selangor, Petaling Jaya"
2023 Perodua Myvi 1.5 AV Hatchback - ADVANCE (A) FULL SERVICE RECORD,RM 594 / month,"RM 45,800",Perodua Myvi,40 - 45K KM,Automatic,"Selangor, Kajang"
2015 Honda CR-V 2.0 SUV - I-VTEC (A) Facelift - Loan up to 6 Yrs,RM 490 / month,"RM 37,800",Honda CR-V,130 - 135K KM,Automatic,"Selangor, Petaling Jaya"
2016 Honda Jazz 1.5 E Hatchback - V (A) 3YERAS WARRANTY,RM 516 / month,"RM 39,800",Honda Jazz,60 - 65K KM,Automatic,"Selangor, Kajang"
2017 Toyota Innova 2.0 G MPV - FACELIFT (A) 3YRS WARRANTY,RM 736 / month,"RM 56,800",Toyota Innova,70 - 75K KM,Automatic,"Selangor, Kajang"
2022 Perodua Ativa 1.0 AV SUV - Full Spec Macam Baru,RM 672 / month,"RM 51,800",Perodua Ativa,60 - 65K KM,Automatic,"Perak, Sitiawan"
2017 Mazda CX-5 2.5 SKYACTIV-G GLS (Metallic) SUV - 2.0 HIGH SPEC F LIFT CX5 2WD,RM 840 / month,"RM 64,800",Mazda CX-5,80 - 85K KM,Automatic,"Selangor, Kajang"
2020 Honda Accord 1.5 TC-P Sedan - Full Service Record,"RM 1,372 / month","RM 105,800",Honda Accord,65 - 70K KM,Automatic,"Selangor, Kajang"
2019 Perodua Aruz 1.5 AV SUV - ADVANCE FREE 3YRS WARRANTY,RM 555 / month,"RM 42,800",Perodua Aruz,70 - 75K KM,Automatic,"Selangor, Kajang"
2017 Mercedes-Benz GLA200 1.6 SUV,RM 866 / month,"RM 66,800",Mercedes-Benz GLA200,90 - 95K KM,Automatic,"Selangor, Kajang"
2018 Honda HR-V 1.8 E SUV - V S (A) 3YEARS WARRANTY,RM 633 / month,"RM 48,800",Honda HR-V,85 - 90K KM,Automatic,"Selangor, Kajang"
2012 Mercedes-Benz C250 1.8 AMG Sports Package Coupe - Just Serviced,RM 699 / month,"RM 53,888",Mercedes-Benz C250,150 - 155K KM,Automatic,"Selangor, Petaling Jaya"
2018 MINI Countryman 2.0 John Cooper Works SUV - ALL4 HARMAN KARDON LOCAL CBU UNIT REAL JCW,"RM 1,683 / month","RM 129,800",MINI Countryman,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2014 Nissan Almera 1.5 E Sedan - (A) 2-Years Warranty,RM 205 / month,"RM 15,800",Nissan Almera,90 - 95K KM,Automatic,"Perak, Sitiawan"
2017 Volvo XC90 2.0 T8 Twin Engine SUV - T8 INSCRIPTION FULL SERVICE RECORD UNDER HYBRID WARRANTY 7 SEATER PREMIUM FAMILY LOW MILEAGE 66K,"RM 1,203 / month","RM 92,800",Volvo XC90,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan - FACELIFT MODEL APPLE CARPLAY ORIGINAL RECORDER CAM DIGITAL PANEL,"RM 1,423 / month","RM 109,800",Mercedes-Benz C200,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2021 BMW X4 2.0 xDrive30i M Sport SUV - LOW MILEAGE HARMON KARDON PREMIUM SOUND SYSTEM,"RM 2,204 / month","RM 169,999",BMW X4,60 - 65K KM,Automatic,"Kuala Lumpur, Old Klang Road"
2018 MINI Countryman 2.0 Cooper S SUV - JCW LINE,"RM 1,203 / month","RM 92,800",MINI Countryman,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Hyundai Elantra 1.6 Sport Sedan - (A) TRUE YEAR GLS VERSION,RM 244 / month,"RM 18,800",Hyundai Elantra,150 - 155K KM,Automatic,"Selangor, Puchong"
2025 Perodua Myvi 1.5 AV Hatchback - PROMO SIAP OTR MILEAGE 4K SHJ FULL SERVICE REKOD ONE LA OWNER LIKE BRAND NEW,RM 687 / month,"RM 52,988",Perodua Myvi,0 - 5K KM,Automatic,"Selangor, Ampang"
2013 Subaru XV 2.0 Crosstrek SUV - 4X4 PROMO SIAP OTR FULL SERVICE REKOD ORIGINAL MILEAGE ORIGINAL PAINT RARE CONDITION,RM 259 / month,"RM 19,988",Subaru XV,125 - 130K KM,Automatic,"Kuala Lumpur, Jln Ampang"
2020 Isuzu D-Max 1.9 Premium Dual Cab 4x4 Pickup - Truck,"RM 80,685  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 80,685"" and is now 1% below market price","-1% RM 80,000",Isuzu D-Max,103402 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2023 Perodua AXIA 1.0 E Hatchback - PROMO SIAP OTR WARRANTY 5THN MILEAGE 10K SHJ FULL SERVICE REKOD LCD SCREEN,RM 246 / month,"RM 18,988",Perodua AXIA,10 - 15K KM,Manual,"Kuala Lumpur, Jln Ampang"
2025 Peugeot 2008 1.2 Allure SUV,"RM 87,918  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 87,918"" and is now 6% below market price","-6% RM 82,900",Peugeot 2008,11 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2024 Toyota Alphard 2.5 Z 7-Seater MPV - HUD AUTO PARKING MOONROOF DIM,"RM 3,770 / month","RM 290,800",Toyota Alphard,15 - 20K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2022 Volvo XC40 2.0 T5 R-Design SUV - CLEAR STOCK PRICE LIMITED,"RM 1,411 / month","RM 108,800",Volvo XC40,95 - 100K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2018 Hyundai Grand Starex 2.5 Royale MPV - PREMIUM WARRANTY,RM 879 / month,"RM 67,800",Hyundai Grand Starex,65 - 70K KM,Automatic,"Selangor, Serdang"
2021 BMW X4 2.0 xDrive30i M Sport SUV - FULL SERVICE RECOND AT,"RM 2,318 / month","RM 178,800",BMW X4,100 - 105K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2021 BMW X4 2.0 xDrive30i M Sport SUV - FULL SERVICE RECOND AT,"RM 2,318 / month","RM 178,800",BMW X4,100 - 105K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2015 Toyota Estima 2.4 Aeras MPV - SPORT RIMS PREMIUM 2 POWER DOOR 7 SEATER,"RM 1,073 / month","RM 82,800",Toyota Estima,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2021 Honda BR-V 1.5 V SUV - TIPTOP WARRANTY MACAM BARU,RM 633 / month,"RM 48,800",Honda BR-V,40 - 45K KM,Automatic,"Selangor, Seri Kembangan"
2009 Toyota Camry 2.0 G Sedan - CLEAR STOCK,RM 218 / month,"RM 16,800",Toyota Camry,145 - 150K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2022 Volkswagen Tiguan 1.4 Allspace Highline SUV - FULL SERVICE RECOND,RM 970 / month,"RM 74,800",Volkswagen Tiguan,65 - 70K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2016 Land Rover Range Rover 4.4 SDV8 Vogue Autobiography LWB SUV,"RM 3,485 / month","RM 268,800",Land Rover Range Rover,100 - 105K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2013 Mercedes-Benz E250 2.0 Avantgarde Sedan - MERCEDES BENZ (A) WITH SUNROOF Genuige Mil FSR MERCEDES MALAYSIA KEYLESS REAR VIEW CAMERA Carlist Qualified car,RM 647 / month,"RM 49,900",Mercedes-Benz E250,120 - 125K KM,Automatic,"Selangor, Kajang"
2017 Volkswagen Polo 1.6 Hatchback - ONE OWNER LOW MILEAGE,RM 322 / month,"RM 24,800",Volkswagen Polo,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Proton Perdana 2.0 E Sedan - Executive FULL LEATHER SEATS,RM 244 / month,"RM 18,800",Proton Perdana,140 - 145K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - FULL SERVICE RECORD,RM 736 / month,"RM 56,800",Nissan Serena,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Proton X70 1.8 Premium SUV - FULL SERVICE RECORD,RM 542 / month,"RM 41,800",Proton X70,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2014/2018 Toyota Vellfire 2.4 Z Golden Eyes MPV - Golden Eyes ORI PAINT POWER BOOT,RM 957 / month,"RM 73,800",Toyota Vellfire,140 - 145K KM,Automatic,"Kuala Lumpur, Cheras"
2020 BMW X3 2.0 xDrive30i M Sport SUV - GUARANTEE SUPER NICE CAR WARRANTY BY MALAYSIA AND FREE SERVICE,"RM 1,553 / month","RM 119,800",BMW X3,55 - 60K KM,Automatic,"Selangor, Kajang"
2020 BMW X3 2.0 xDrive30i M Sport SUV - GUARANTEE SUPER NICE CAR WARRANTY BY MALAYSIA AND FREE SERVICE,"RM 1,553 / month","RM 119,800",BMW X3,55 - 60K KM,Automatic,"Selangor, Kajang"
2021 Toyota Hilux 2.4 Single Cab Pickup - PICK UP 4X4 MANUAL FULL LEATHER SEAT COMMERCIAL USE ANTI-LOCKING BRAKING SYSTEM ELECTRONIC BRAKE FORCE GOOD DEALS,RM 997 / month,"RM 76,900",Toyota Hilux,58540 KM,Manual,"Selangor, Kajang"
2019 Volvo XC90 2.0 T8 Twin Engine Inscription SUV - INSCRIPTION PLUS F Spec Bowers Wilkins 360Cam GenuineLowUNDER Warranty 2027,"RM 1,864 / month","RM 143,800",Volvo XC90,40 - 45K KM,Automatic,"Selangor, Kajang"
2021 Volvo XC90 2.0 Recharge T8 Inscription Plus SUV - (A) NEW FACELIFT 462HP WARRANTY TILL 2029 POLESTAR BOWER WILKINS SOUND SYSTEM,"RM 2,383 / month","RM 183,800",Volvo XC90,50 - 55K KM,Automatic,"Selangor, Kajang"
2018 Volvo XC90 2.0 T8 Twin Engine Inscription Plus SUV - INSCRIPTION PLUS F Spec Bowers Wilkins 360Cam GenuineLowUNDER Warranty 2027,"RM 1,423 / month","RM 109,800",Volvo XC90,75 - 80K KM,Automatic,"Selangor, Kajang"
2018 Honda CR-V 1.5 TC SUV,"RM 1,042 / month","RM 80,400",Honda CR-V,140 - 145K KM,Automatic,"Penang, Juru"
2015 Toyota Avanza 1.5 G MPV - Facelift 5-Years Warranty,RM 477 / month,"RM 36,800",Toyota Avanza,75 - 80K KM,Automatic,"Perak, Sitiawan"
2021 Volvo XC90 2.0 T8 Twin Engine Inscription SUV - NEW FACELIFT 462HP WARRANTY TILL 2029 POLESTAR BOWER WILKINS SOUND SYSTEM,"RM 2,383 / month","RM 183,800",Volvo XC90,55 - 60K KM,Automatic,"Selangor, Kajang"
2021 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - M - Warranty Service till 2026 - AppleCarplay,"RM 1,981 / month","RM 152,800",BMW 330i,65 - 70K KM,Automatic,"Selangor, Kajang"
2021 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - Warranty Service till 2026 - AppleCarplay,"RM 1,994 / month","RM 153,800",BMW 330i,50 - 55K KM,Automatic,"Selangor, Kajang"
2010/2011 Mercedes-Benz E200 1.8 Avantgarde CGI Wagon - YEAR MADE Done AMG Convert ((( FREE 1 Year Warranty ))) 2011,RM 347 / month,"RM 26,800",Mercedes-Benz E200,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2021 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - SPORT SUPER NICE CAR - Warranty Service till 2026 - AppleCarplay,"RM 2,020 / month","RM 155,800",BMW 330i,45 - 50K KM,Automatic,"Selangor, Kajang"
2021 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - Warranty Service till 2026 - AppleCarplay,"RM 2,020 / month","RM 155,800",BMW 330i,40 - 45K KM,Automatic,"Selangor, Kajang"
2022 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - Full Spec GENUINE 36K KM ONLY Full Service Record Maintained By C C Panoramic Sunroof Car King Condition,"RM 2,772 / month","RM 213,800",Mercedes-Benz GLC300,35 - 40K KM,Automatic,"Selangor, Subang Jaya"
2022 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - SPORT - Warranty Service - AppleCarplay FULL SERVICE RECORD ANS FREE SERVIVE BY MAL,"RM 2,162 / month","RM 166,800",BMW 330i,50 - 55K KM,Automatic,"Selangor, Jeram"
2022 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - Warranty Service till 2026 - AppleCarplay,"RM 2,201 / month","RM 169,800",BMW 330i,65 - 70K KM,Automatic,"Selangor, Kajang"
2018 Mazda CX-3 2.0 SKYACTIV-G GVC SUV - Facelift F Service 35k-Mileage,RM 762 / month,"RM 58,800",Mazda CX-3,35 - 40K KM,Automatic,"Perak, Sitiawan"
2015 Mercedes-Benz C180 1.6 Avantgarde Sedan - 2019 MERCERDES BENZ (JAPAN SPEC) (A) KEY LESS PUSH START PADDLE SHIFT BLIND SPOT SENSOR ELETRONIC SEAT W 3MEMORY,RM 774 / month,"RM 59,700",Mercedes-Benz C180,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2020 BMW 320i 2.0 Sport Driving Assist Pack Sedan - SAFETY FUNCTION FULL SERVICE RECORD LOW MILEAGE 85K KM ALL TYRE LIKE NEW G20,"RM 1,422 / month","RM 109,700",BMW 320i,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2018 BMW X3 2.0 xDrive30i Luxury SUV - GOT SERVICE RECORD BROWN COLOR SEAT B48 TURBO ENGINE 8 SPEED GEAR BOX AWD POWER BOOT G01,"RM 1,085 / month","RM 83,700",BMW X3,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
"2016 Honda HR-V 1.8 V SUV - , 1 YEAR WARRANTY , MICHELIN TYRES , FULL SERVICE RECORD , REVERSE CAMERA , PUSH START , MONTHLY 600 1 OWNER ONLY",RM 490 / month,"RM 37,800",Honda HR-V,105 - 110K KM,Automatic,"Selangor, Kajang"
2019 Honda HR-V 1.8 RS SUV - FACELIFT FULL SERVICE RECORD FREE WARRANTY 3 YEAR T C REVEE CAMERA WHITE COLOR LEATHER SEAT POWER SEAT,RM 761 / month,"RM 58,700",Honda HR-V,110 - 115K KM,Automatic,"Selangor, Seri Kembangan"
2010 Honda Accord 2.4 VTi-L Sedan,RM 218 / month,"RM 16,800",Honda Accord,115 - 120K KM,Automatic,"Kuala Lumpur, Setapak"
2022 BMW X5 3.0 xDrive45e M Sport SUV - (A) CAR WARRANTY TILL 2027 HYBRID WARRANTY TILL 2030 FULL SERVICE 53K KM FULL DIGITAL METER PANROOF,"RM 3,108 / month","RM 239,700",BMW X5,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2015 Honda HR-V 1.8 V SUV - HRV FULL SPEC KEYLESS PUSH START LED DAYLIGHT SEMI LEATHER SEAT AUTO CRUISE FUNCTION STEERING WARRANTY (T C),RM 476 / month,"RM 36,700",Honda HR-V,110 - 115K KM,Automatic,"Selangor, Seri Kembangan"
2019 Perodua Myvi 1.5 H Hatchback,RM 516 / month,"RM 39,800",Perodua Myvi,95 - 100K KM,Automatic,"Perak, Ipoh"
2017 Honda Civic 1.8 S Sedan - (A) FULL SERVICE RECORD FREE WARRANTY(T C) REVERSE CAMERA POWER SEAT,RM 696 / month,"RM 53,700",Honda Civic,145 - 150K KM,Automatic,"Selangor, Seri Kembangan"
2019 Nissan Almera 1.5 E Black Series Sedan - (A) Black Edition Like New,RM 399 / month,"RM 30,800",Nissan Almera,110 - 115K KM,Automatic,"Perak, Sitiawan"
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan - FULL SERVICE RECORD BY HAP SENG STAR DIGITAL METER C63 AMG BODYKIT W205 FACELIFT WARRANTY (T C),"RM 1,318 / month","RM 101,700",Mercedes-Benz C200,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2024 Perodua Bezza 1.0 G Sedan - FACELIFT (A) FULL SERVICE RECORD UNDER WARRANTY TILL 2029 ARPIL ON THE ROAD PRICE WITHOUT INSURANCE,RM 385 / month,"RM 29,700",Perodua Bezza,30 - 35K KM,Manual,"Selangor, Seri Kembangan"
"2010 Toyota Camry 2.0 G Sedan - FACELIFT , SERVICE ON TIME , COLD AIRCOND JANJI , TIPTOP CONDITION , DUAL ZONE CLIMATE CONTROLS 1 OWNER ONLY , TIPTOP",RM 309 / month,"RM 23,800",Toyota Camry,145 - 150K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Toyota Camry 2.0 G Sedan - FACELIFT SPEC FREE WARRANTY 3 YEAR FULL LEATHER SEAT REVERSE CAMERA POWER SEAT CRUISE CONTROL,RM 748 / month,"RM 57,700",Toyota Camry,110 - 115K KM,Automatic,"Selangor, Seri Kembangan"
2021 Honda Civic 1.8 S Sedan - FACELIFT FULL SERVICE RECORD REVERSE CAMRA CRUISE CONTROL POWER SEAT,RM 826 / month,"RM 63,700",Honda Civic,110 - 115K KM,Automatic,"Selangor, Seri Kembangan"
2023 Honda HR-V 1.5 e:HEV RS SUV - eHEV RS NEW FACELIFT FULL SPEC FULL SERVICE WITH UNDER WARRANTY SENSING SAFETY FUNCTION HRV RS,"RM 1,293 / month","RM 99,700",Honda HR-V,40 - 45K KM,Automatic,"Selangor, Seri Kembangan"
2018 Perodua Myvi 1.3 X Hatchback - PREMIUM GEN-3 AMG FULL SERVICE RECORD ORIGINAL MILEAGE 104K KM KEYLESS PUSH START,RM 359 / month,"RM 27,700",Perodua Myvi,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2015/2016 Kia Cerato 1.6 Sedan - (A) YD Full service Record By Dealer Full Leather Seat Push Start Engine Button Year Made Genuine Infor,RM 288 / month,"RM 22,222",Kia Cerato,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2023 Hyundai Staria 2.2 Max MPV - Prime Premium Model 2 x Power DOOR and 1 Power BOOT Made Done 22k km by Record,"RM 2,321 / month","RM 179,000",Hyundai Staria,20 - 25K KM,Automatic,"Selangor, Petaling Jaya"
2019 Hyundai Tucson 2.0 Elegance SUV - Year Made Tahun Dibuat Facelift White Premium Edition Model,RM 778 / month,"RM 60,000",Hyundai Tucson,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2024 Hyundai Staria 2.2 Premium MPV - MAX Prime Yr. Make 2023 Free MAINTENANCE PACKAGE 2 x Power DOOR and 1 Power BOOT Done 12k km by Sime Darby Record,"RM 2,424 / month","RM 187,000",Hyundai Staria,5 - 10K KM,Automatic,"Selangor, Petaling Jaya"
2013 Ford S-Max 2.0 Ecoboost MPV - 7 Seater Year Made Panoramic Glass Auto Curtain Roof GOOD Good CONDITION,RM 194 / month,"RM 15,000",Ford S-Max,110 - 115K KM,Automatic,"Selangor, Petaling Jaya"
2012 Ford Fiesta 1.6 Sport Hatchback - Aeroback Ti-VCT (A) Full service By Malaysia Genuine Infor,RM 187 / month,"RM 14,400",Ford Fiesta,65 - 70K KM,Automatic,"Selangor, Petaling Jaya"
2019 Hyundai Tucson 2.0 Elegance SUV - Year Made Tahun Dibuat Facelift Silver Premium Edition Model,RM 778 / month,"RM 60,000",Hyundai Tucson,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
"2018 Honda Civic 1.5 TC-P Sedan - TC VTEC Premium , NO PROCESSING FEE , 62K LOW MILEAGE , FULL SERVICE RECORD , 1 YEAR WARRANTY , APPE CAR PLAY 1 OWNER ONLY",RM 996 / month,"RM 76,800",Honda Civic,60 - 65K KM,Automatic,"Kuala Lumpur, Cheras"
2005 Toyota Avanza 1.3 MPV - Year Made Original Mileage 93K km,RM 179 / month,"RM 13,800",Toyota Avanza,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
2016 Ford Ranger 2.2 XLT High Rider Dual Cab Pickup - XLT (A)4x4.FULL SERVICE RECORD.NEVER OFF ROAD.ORIGINAL PAINT,RM 568 / month,"RM 43,800",Ford Ranger,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Land Rover Defender 2.2 Dual Cab SUV - Double Cab 110 Puma Model Year 2015 Done 35k km wt Service Booklet By Sime Darby Malaysia Record,"RM 2,334 / month","RM 180,000",Land Rover Defender,30 - 35K KM,Manual,"Selangor, Petaling Jaya"
2023 Honda CR-V 2.0 SUV - Year 2022 2 x Electric Seat Service Record Booklet n WARRANTY By Malaysia till 2027 2027 2027 WHITE Edition Model,"RM 1,340 / month","RM 103,333",Honda CR-V,55 - 60K KM,Automatic,"Selangor, Petaling Jaya"
2010/2015 Toyota Alphard 2.4 G 240S Prime Selection MPV,RM 723 / month,"RM 55,800",Toyota Alphard,175 - 180K KM,Automatic,"Kuala Lumpur, Setapak"
2023 Honda CR-V 2.0 SUV - Year 2022 2 x Electric Seat 32K km Service Record Booklet n WARRANTY By Malaysia till 2027 2027 2027 Silver Edition Mode,"RM 1,400 / month","RM 108,000",Honda CR-V,25 - 30K KM,Automatic,"Selangor, Petaling Jaya"
2015 BMW X5 3.0 xDrive35i SUV - Petrol Twin Power Turbo Panoramic Roof 7 Sport Seater 2 x DVD Player HUD Sport Display Yr PREMIUM MODEL Genuine Infor,"RM 1,141 / month","RM 88,000",BMW X5,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2017 Mercedes-Benz CLA200 1.6 AMG Line Coupe - AMG Sport Line Original Facelift 68k km by Mercedes Benz Record Premium Grey Edition Model,"RM 1,037 / month","RM 80,000",Mercedes-Benz CLA200,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2020 Toyota Fortuner 2.4 SUV - (A) VRZ Mileage 20k km full Service Record Green Engine Year Under WARRANTY WARRANTY WARRANTY Genuine Information,"RM 1,858 / month","RM 143,300",Toyota Fortuner,15 - 20K KM,Automatic,"Selangor, Petaling Jaya"
2013/2016 Toyota Vellfire 2.4 Z Golden Eyes MPV - 7S,RM 957 / month,"RM 73,800",Toyota Vellfire,65 - 70K KM,Automatic,"Kuala Lumpur, Titiwangsa"
2017 Porsche 911 4.0 GT3 Coupe - IMPORT BARU,"RM 14,261 / month","RM 1,100,000",Porsche 911,20 - 25K KM,Automatic,"Selangor, Petaling Jaya"
2022 Honda CR-V 1.5 TC-P SUV - Year 2021 Done 59k km SERVICE Record Booklet under WARRANTY By Full Premium Edition Genuine Information,"RM 1,491 / month","RM 115,000",Honda CR-V,50 - 55K KM,Automatic,"Selangor, Petaling Jaya"
2015 BMW X5 3.0 xDrive35i SUV - Petrol Twin Power Turbo Panoramic Roof 7 Sport Seater 2 x DVD Player HUD Sport Display Yr BLACK PREMIUM MODEL Genuine Infor,"RM 1,141 / month","RM 88,000",BMW X5,80 - 85K KM,Automatic,"Selangor, Petaling Jaya"
2015 BMW X3 2.0 xDrive20i SUV - LCI Facelift Year Plate number WWQ2929 by Service Record White Premium Edition Genuine Infor 3 Years WARRANTY,RM 778 / month,"RM 60,000",BMW X3,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2019 BMW X1 2.0 sDrive20i Sport Line SUV - sDrive20i Sport Year Dual Clutch LED Meter 47k Service Auto Bavaria Record Premium Edition Model under 3 Years WArrANtY,RM 882 / month,"RM 68,000",BMW X1,40 - 45K KM,Automatic,"Selangor, Petaling Jaya"
2015/2016 Mercedes-Benz GLA250 2.0 4MATIC SUV - AMG WARRNTY till Year 2029 Wt EXTENSION SPORT SEAT BPW3232 Cost RM7k Service By Mercedes NZ Wheels Genuine Infor,RM 843 / month,"RM 65,000",Mercedes-Benz GLA250,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2012 Porsche 911 3.8 Carrera S Coupe,"RM 4,771 / month","RM 368,000",Porsche 911,75 - 80K KM,Automatic,"Selangor, Petaling Jaya"
2014 Land Rover Range Rover 5.0 Supercharged Autobiography SUV - V8 Vogue Panoramic Glass T Roof Reg. Year,"RM 2,321 / month","RM 179,000",Land Rover Range Rover,70 - 75K KM,Automatic,"Selangor, Petaling Jaya"
"2019 Toyota Vios 1.5 G Sedan - , NO PROCESSING FEE , 1 YEAR WARRANTY , FULL SERVICE RECORD , 360 CAMERA , PADDLE SHIFTERS , MONTHLY 610 1 OWNER",RM 659 / month,"RM 50,800",Toyota Vios,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
